Area_1;Area_2;Dirt;B_cells;CD4;CD8;epithelial;LP;lymphocytes;macrophages;monocytes;muscular;epithel_prolif;strong_infiltrate;T_cells;Tregs;B_cells_2;T_cells_2;Monocytes_2;Macrophages_2
321;577;;;;;10922;301;1141;;;1372;12202;11896;12417;;;3864;11652;9068
323;578;;;;;10923;304;1142;;;1401;12224;11902;12800;;;3884;11695;9169
324;580;;;;;10924;305;1143;;;1406;12225;11906;12886;;;3947;11734;9174
325;588;;;;;10925;307;1145;;;1409;12248;11920;13016;;;3952;11744;9203
326;591;;;;;10926;308;1148;;;1412;12260;11924;13199;;;3962;11759;9212
327;598;;;;;10927;309;1152;;;1421;12265;11931;13213;;;3997;11829;9225
328;602;;;;;10928;310;1159;;;1423;12269;11932;13394;;;4048;12368;9226
330;603;;;;;10929;313;1167;;;1427;12274;11933;13405;;;4052;12482;9353
331;605;;;;;10930;314;1172;;;1458;12298;11937;13439;;;4173;12574;9407
332;607;;;;;10931;315;1175;;;1462;12311;11938;13461;;;4189;12591;9430
333;608;;;;;10932;316;1178;;;1471;12313;11946;14273;;;4194;12618;9509
334;609;;;;;10933;317;1187;;;1472;12315;11947;14344;;;4200;12649;9513
335;610;;;;;10934;318;1191;;;1475;12325;11949;14576;;;4243;12655;9522
340;614;;;;;10935;321;1195;;;1477;12326;11950;15994;;;4255;12731;9610
341;616;;;;;10936;323;1197;;;1483;12352;11954;16055;;;4282;12767;9681
343;619;;;;;10937;324;1207;;;1510;12356;11957;16221;;;4283;12804;9741
345;625;;;;;10938;325;1209;;;1512;12366;11958;17300;;;4359;12822;9792
346;626;;;;;10939;326;1210;;;1523;12368;11959;18446;;;4375;12836;9857
349;627;;;;;10940;327;1212;;;1533;12375;11967;;;;4377;12937;9902
350;631;;;;;10941;328;1215;;;1538;12378;11974;;;;4381;13026;9913
354;638;;;;;10942;329;1218;;;1543;12379;11978;;;;4397;13439;9957
356;639;;;;;10943;330;1228;;;1545;12380;11982;;;;4425;13441;9966
357;641;;;;;10944;331;1230;;;1546;12381;11983;;;;4449;13682;9976
359;642;;;;;10945;332;1234;;;1554;12386;11988;;;;4463;13834;10002
360;644;;;;;10946;333;1237;;;1563;12391;11994;;;;4476;14012;10018
361;645;;;;;10947;334;1241;;;1565;12398;11998;;;;4575;14062;10042
363;646;;;;;10948;336;1259;;;1568;12412;11999;;;;4622;14119;10065
366;647;;;;;10949;339;1271;;;1572;12413;12000;;;;4681;14203;10083
367;650;;;;;10950;341;1272;;;1580;12414;12004;;;;4688;14227;10091
369;651;;;;;10951;342;1274;;;1582;12419;12011;;;;4705;14357;10119
370;652;;;;;10952;343;1276;;;1585;12422;12017;;;;4718;14469;10190
372;653;;;;;10954;344;1277;;;1592;12423;12022;;;;4742;14550;10227
373;658;;;;;10955;346;1278;;;1606;12424;12026;;;;4781;14663;10237
375;661;;;;;10956;347;1289;;;1608;12427;12032;;;;4798;14712;10255
376;662;;;;;10957;349;1290;;;1612;12435;12033;;;;4821;14713;10277
377;663;;;;;10958;350;1291;;;1616;12446;12037;;;;4854;14723;10318
380;664;;;;;10959;354;1297;;;1624;12448;12043;;;;4896;14724;10319
381;665;;;;;10960;355;1298;;;1627;12451;12048;;;;4903;14811;10406
389;669;;;;;10961;356;1300;;;1630;12456;12059;;;;4918;14845;10418
