Ki67+ epithelial Cluster 0,Lamina propria cells Cluster 1,other muscular Cluster 2,naive Lymphocytes Cluster 3,naive Lymphocytes Cluster 4,Lamina propria cells Cluster 5,Lamina propria cells Cluster 6,other Lymphocytes Cluster 7,PD1+ epithelial Cluster 8,Lamina propria cells Cluster 9,GATA3+ epithelial Cluster 10,Ki67++ epithelial Cluster 11,Macrophages Cluster 12,CD8 T cells Cluster 13,naive Lymphocytes Cluster 14,SMA+ epithelial Cluster 15,other muscular Cluster 16,CD4 T cells Cluster 17,PD1+ muscular Cluster 18,other muscular Cluster 19,naive Lymphocytes Cluster 20,intraepithelial Lymphocytes Cluster 21,Monocytes Cluster 22,Lamina propria cells Cluster 23,other muscular Cluster 24,memory Lymphocytes Cluster 25,other Lymphocytes Cluster 26,Lamina propria cells Cluster 27,other muscular Cluster 28,other Lymphocytes Cluster 29,other muscular Cluster 30,intramuscular Lymphocytes Cluster 31,Lamina propria cells Cluster 33,PD-L1+ cells Cluster 34,B cells Cluster 35,CD14,CD20,CD25,CD3,CD4,CD45,CD45RA,CD45RO,CD68,CD8,Cytokeratin,FoxP3,GATA-3,Ki67,Nuclei,PD1,PDL1,SMA,Vimentin
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2381.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24593.047,0.0,0.0,0.0,4711.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.9946,53532.08,0.0,0.0,0.0,54201.094
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7641196013289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.7758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32579.275,0.0,0.0,0.0,12682.348
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.47543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.1912,48828.77,1.9096131,0.0,0.0,24068.473
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07154213036566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.722141,42161.297,0.0,0.0,762.4464,21082.318
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.215744,0.0,0.0,35097.316,43.853207,0.0,0.0,37466.38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7641196013289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19344.02,0.0,0.0,0.0,83.80491,0.0,0.0,0.0,7985.497,22492.67,0.0,0.0,1807.2831,25621.848
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.644455,0.0,2924.1682,0.0,435.41754,0.0,27.547085,0.0,43734.74,1240.2131,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5260.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6228,0.0,0.0,0.0,0.0,0.0,35584.664,261.8589,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2815256,39426.64,0.0,0.0,0.0,21708.697
